,Theme,Category,Valence_mean,Valence_SD,Arousal_mean,Arousal_SD,Contrast,Entropy,Sum_Entropy,Difference_Entropy
108,Camping 7,Person,5.2156862745098,0.874585627262252,2.98019801980198,1.39269665052948,300.70854945040435,12.443190251804861,8.409752572445168,4.323517194202307
109,Camping 8,Person,3.55882352941176,1.34660210013001,3.73267326732673,1.60555964765505,584.5481415638291,13.110744516124928,8.217412819510876,5.291633951332034
110,Camping 9,Person,3.99019607843137,1.25465547351143,3.4950495049505,1.70659756460765,185.18173339096728,11.503136615063973,7.965498990765774,3.9316708702323693
111,Camping 10,Scene,4.94117647058824,1.11536105606278,3.77227722772277,1.61790721686265,246.90812097942748,11.722411376829458,8.563460487490012,3.681316332389569
112,Candle 1,Object,5.04901960784314,1.01841899390009,3.30693069306931,1.69553870057528,101.57848943438253,9.662131478632528,7.618118757590881,2.764333991268481
113,Car 1,Object,5.22549019607843,1.28129623989083,4.32673267326733,1.88206753806068,260.7053205320414,6.879287891720352,5.3277036649453855,2.521212256305024
114,Car 2,Object,3.92079207920792,1.09254902239517,2.87378640776699,1.56981085191619,477.33310962589286,13.249331606424548,8.628910754709793,5.057965796993466
115,Car accident 1,Object,2.14705882352941,0.9270100859623,4.0990099009901,1.7349636912342,326.1636545145427,12.165512574645987,8.377540606706123,4.199120324123254
116,Car accident 2,Object,1.97222222222222,1.00891663311974,4.08653846153846,1.83869189953591,782.7053717001668,13.624273146776986,8.86272658030524,5.136745636685267
117,Car accident 3,Object,2.67647058823529,1.25202224307166,4.4950495049505,1.60389377688323,792.931620022626,14.059461437681907,8.87749930059568,5.521802226844395
118,Car accident 4,Object,2.02777777777778,0.941844812636531,3.96153846153846,1.81109352217912,770.0388910239019,14.098211957282437,8.763446561080231,5.57732697651621
119,Car crash 1,Scene,1.85294117647059,0.762967873965577,4.55445544554455,1.75769876557249,573.6125096885496,13.46999875452189,8.894117254211231,4.921815404706049
120,Car crash 2,Scene,1.99009900990099,0.83060278719675,4.21359223300971,1.87684803273422,517.7166808617228,11.99970421328546,8.248609237268393,4.72362377239883
121,Car crash 3,Scene,2.02941176470588,0.826011319570284,4.66336633663366,1.72207565294195,675.7431573573205,12.752002629276422,8.536747515679806,4.901376470462009
122,Car race 1,Scene,4.38888888888889,1.16677792081908,3.21153846153846,1.83108581996032,658.1809195025382,13.032671537461741,8.424566144994987,4.948764664053924
123,Car race 2,Scene,4.36633663366337,1.06510818490168,3.59223300970874,1.81192614014232,313.6781404061253,11.842658557891333,8.100375069311855,4.190862383716944
124,Car race 3,Scene,4.3960396039604,1.07776813759539,3.68932038834951,1.79885108329577,255.7688565577267,11.837640819329913,7.975214733278155,4.261364379101029
125,Car race 4,Scene,4.14705882352941,1.1379768292159,3.47524752475248,1.72970552063605,614.4075069970763,12.63947449567696,8.583446031889494,4.533609679213193
126,Cardboard 1,Object,4.01851851851852,0.431937202979103,1.98076923076923,1.37226882666491,4215.839412452721,14.200745550053718,8.504828208765478,6.5091059386901415
127,Cardboard 2,Object,4.00925925925926,0.587969265684951,2.06730769230769,1.47644563402501,274.228623345061,12.108330990617016,7.97504969158833,4.787873470484872
128,Cardboard 3,Object,3.74509803921569,0.804520329507078,1.86138613861386,1.2730255533201,95.73757633876775,11.39151364191665,8.02116025904486,3.9693569541325675
129,Cat 1,Animal,5.42156862745098,1.16411930345192,3.84158415841584,1.57310313245716,237.85670984764,9.605682273813661,6.864304053623954,3.740523202744364
130,Cat 2,Animal,5.4950495049505,1.17152688723936,3.98058252427184,1.74884041427272,222.12717571986065,11.638270096860317,7.599583083094166,4.46146500934384
131,Cat 3,Animal,6.0,1.11907839251687,4.22115384615385,1.90021322650871,141.2100238641443,11.351142494134596,8.46099522918,3.5694474800627027
132,Cat 4,Animal,5.84313725490196,1.07854961318582,3.53465346534653,1.76388410297073,287.6456530253488,12.37873669204576,8.191648577236558,4.831075087005838
133,Cat 5,Animal,6.2156862745098,0.991323257868958,4.86138613861386,1.78902041894606,327.5255278872279,13.511491587562201,8.862758029602954,4.9823050898463705
134,Cat 6,Animal,4.7156862745098,1.4649532887521,4.02970297029703,1.68793036316404,320.4489267331655,13.33303460354691,8.617558221286702,4.940627868199011
135,Cat 7,Animal,3.32352941176471,1.25990542396809,4.40594059405941,1.57593285276868,785.4065331464928,14.114028849761208,8.696256815481396,5.64146576724263
136,Cat 8,Animal,4.76470588235294,1.3800306395525,3.63366336633663,1.50812978405194,177.06113768702804,11.43889269977372,7.961702144626943,4.141775339239174
137,Cat 9,Animal,5.33333333333333,1.33954937324627,3.60576923076923,1.75387653433326,166.98980730571418,11.274306517365307,8.255302638960421,4.143431832864126
138,Cat 10,Animal,5.45098039215686,1.15721970479088,3.42574257425743,1.47882747238118,731.7690142327256,14.045406331603921,8.690930535781504,5.600927818925927
139,Cat 11,Animal,5.36633663366337,1.1808706303167,3.60194174757282,1.64101717514547,62.317158689559534,10.835531852097633,8.119715678702738,3.291849308375933
140,Cat 12,Animal,5.18518518518519,1.23914462619917,3.38461538461538,1.71971826721587,453.74871060353763,13.33628933399128,8.422304068206039,5.119164459959362
141,Cat 13,Animal,5.45544554455446,1.16210801972319,3.71844660194175,1.93227223616904,95.75994987029192,12.224111582650254,8.56179099786611,3.9043718373625924
142,Cat 14,Animal,5.70588235294118,1.1568841328816,4.00990099009901,1.7175275805934,35.80273080559613,10.5884593806374,8.134319103494185,3.146209714343125
143,Celebration 1,Person,5.32352941176471,1.10947106036158,3.8019801980198,1.69127054003904,1584.6624951946487,12.99813063603284,8.42587608799985,5.224923689158133
144,Celebration 2,Scene,4.8921568627451,1.07082703991255,4.15841584158416,1.4746706294446,270.08654160514004,9.489335127693764,6.971341503394154,3.4156094551737888
145,Cemetery 1,Scene,4.1078431372549,1.35637010300971,3.48514851485149,1.68293708370895,61.08314701458049,5.930881982585144,4.591094536018728,2.38532224885388
146,Cemetery 2,Scene,3.99009900990099,1.29224648968338,4.21359223300971,1.93345411439943,66.8364305936434,10.354094599909994,7.651572525456977,3.2650236431764013
147,Cemetery 3,Scene,2.94444444444444,1.37285658482312,3.63461538461538,1.88534301845493,447.3090437095994,12.19001495663518,8.04538066671989,4.681493703238583
148,Cemetery 4,Scene,2.79411764705882,1.18854462375453,4.33663366336634,1.90933091800647,1076.048692824872,13.967832458327694,8.604104451426732,5.77891855279519
149,Cemetery 5,Scene,2.50980392156863,1.22470524268888,4.7029702970297,1.83054393258094,1071.46609813047,13.790271947988579,8.815243716916445,5.528914076143567
150,Cheerleader 1,Person,5.29411764705882,1.21531673167918,4.27722772277228,1.73849827081414,518.791559178507,12.286794493529035,8.442968055288265,4.287648354472436
151,Cheerleader 2,Person,5.1980198019802,1.10471536587664,4.12621359223301,1.64900214420059,195.44386825279616,11.605679858518354,8.302915793484825,3.7915961541067813
152,Child labor 1,Person,4.25925925925926,1.00810148549323,3.27884615384615,1.49729030831155,592.44010568317,12.668843906695255,8.291573861285773,4.889941188823046
153,Child labor 2,Person,2.82178217821782,1.12601988973517,3.6504854368932,1.79710408584869,243.50084229172614,12.166249383462208,8.405461508011038,4.429307160429435
154,Child labor 3,Person,4.08823529411765,1.17820925688072,3.5049504950495,1.58507894047103,301.3375914071249,11.630314980618987,7.533731995008454,4.413646732793204
155,Child labor 4,Person,4.01851851851852,0.995142233589963,3.03846153846154,1.58220122517743,448.1136769434856,13.040094200492135,8.39759229112633,4.937970854666994
156,Children 1,Person,5.72277227722772,1.04994106388109,3.52427184466019,1.70836844647324,267.3155222537806,12.52300232990617,8.472284061554774,4.699878377183429
